id,averageRating,numVotes,titleType,startYear
196,6.5,13,video,2020
197,7.9,16,tvMovie,1974
198,6.0,8,tvEpisode,2017
199,8.1,25,tvEpisode,2010
200,6.0,7,tvMovie,2010
201,6.2,22,movie,2020
202,5.3,7,video,2011
203,8.2,309,tvEpisode,1991
204,5.9,16,tvEpisode,2019
205,6.8,10,tvEpisode,2011
206,8.4,545,tvEpisode,2016
207,8.5,6,movie,2018
208,2.9,37,movie,2017
209,8.5,11,short,2012
210,6.1,32,short,2019
211,8.0,36,tvEpisode,2011
212,6.7,12,tvSeries,2017
213,6.2,10,tvEpisode,2011
214,7.6,47,tvSeries,2013
215,7.3,6,tvEpisode,2014
216,8.8,5,tvEpisode,2016
217,7.5,10,tvEpisode,2020
218,3.2,14,tvSeries,2003
219,5.8,14,short,2000
220,4.3,24,movie,2009
221,7.0,43,movie,1998
222,7.4,80,tvEpisode,2003
223,7.5,11,tvEpisode,2019
224,3.8,26,tvSeries,2013
225,7.5,17,tvEpisode,2008
226,6.6,6,tvEpisode,2005
227,7.1,399,movie,1989
228,3.2,1990,tvMovie,2010
229,6.6,63,movie,2017
230,7.8,12,tvEpisode,2020
231,3.4,25,movie,1992
232,7.7,28,tvEpisode,2011
233,6.9,802,movie,1973
234,7.0,57,movie,1937
235,5.5,50,movie,1939
236,7.0,7,tvEpisode,2014
237,5.5,25,tvSeries,1963
238,7.8,41,movie,2019
239,7.2,11,tvEpisode,2016
240,8.1,190,tvEpisode,2008
241,6.6,122409,movie,2007
242,8.0,167,tvEpisode,2020
243,6.6,11,tvEpisode,2001
244,7.3,51,tvEpisode,1991
245,6.7,14,tvEpisode,2020
246,6.9,14,tvEpisode,2015
247,7.2,30,tvSeries,2010
248,8.3,3045,tvEpisode,2017
249,5.5,9,short,2014
250,7.2,11,tvEpisode,2012
251,7.0,8,movie,1947
252,7.2,13,tvEpisode,1966
253,6.4,57,movie,1974
254,9.7,31,tvEpisode,2018
255,7.2,97,tvMiniSeries,2019
256,7.2,13,short,2012
257,7.2,30,tvEpisode,2015
258,6.5,13,short,2009
259,5.4,5,tvEpisode,2014
260,5.7,14,short,1998
261,6.6,9,short,2017
262,8.7,6,short,2017
263,6.2,14,video,2005
264,7.5,17,videoGame,2018
265,6.9,9,short,1988
266,7.9,13,tvEpisode,2014
267,7.3,20,tvEpisode,2020
268,7.0,10,video,2003
269,6.6,59,tvEpisode,2011
270,7.0,2344,tvMiniSeries,2014
271,5.2,5,movie,1964
272,8.1,295,tvEpisode,2012
273,8.1,15,tvEpisode,2001
274,5.9,14,tvEpisode,2020
275,7.9,17,video,2004
276,6.8,107,movie,1933
277,4.6,39,movie,1919
278,7.8,5,tvEpisode,2014
279,7.7,20,tvEpisode,1970
280,7.7,77,tvEpisode,2015
281,7.1,39,tvEpisode,1980
282,4.0,6,tvEpisode,1983
283,7.8,34,movie,2011
284,6.3,19,tvEpisode,1984
285,6.8,8,video,1988
286,8.1,8,tvMovie,1989
287,8.9,163,video,2005
288,8.0,5,tvEpisode,2015
289,5.9,32,tvSeries,2014
290,6.8,14,tvMiniSeries,2016
291,7.4,64,videoGame,1993
292,7.5,21,tvEpisode,2015
293,7.0,7,tvEpisode,2014
294,6.7,11,tvEpisode,1973
295,6.0,43418,movie,2017
296,6.5,6,short,2015
297,5.9,25,tvMovie,2006
298,8.2,24,tvEpisode,2015
299,7.7,16,short,2012
300,7.6,5,tvEpisode,2010
301,7.5,1505,tvEpisode,1997
302,5.4,18,movie,1960
303,6.3,7,tvEpisode,2006
304,4.8,84,short,1896
305,7.3,78,tvEpisode,2007
306,6.2,6,tvEpisode,1991
307,6.6,5,tvEpisode,1994
308,7.8,6,short,2013
309,8.3,23,movie,2019
310,6.3,45,short,2013
311,7.4,5,tvEpisode,1996
